fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,tl_used_cm,bw_used_g,swimming_speed_m_s,swimming_speed_tl_s,mo2_mg_o2_kg_h,cot_mg_o2_kg_km,is_lowflow_0_1_m_s,is_active_speed,is_uopt_speed,used_for_active_metrics,speed_step_status,table_s2_uopt_m_s,table_s2_mincot_mg_o2_kg_km,table_s2_mo2_at_uopt_mg_o2_kg_h,uopt_position_flag,active_metrics_status,source_raw_mo2_row,source_raw_cot_row,notes
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.4,0.7042253521126761,83.72098560794073,58.139573338847725,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.5,0.8802816901408451,74.80072012588197,41.55595562548998,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.6,1.0563380281690142,65.55814511647043,30.35099310947705,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.7,1.2323943661971832,64.05351067411763,25.41805979131652,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.8,1.4084507042253522,41.914263390000116,14.553563677083371,False,True,True,True,uopt_speed,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,Uopt/minCOT occurs at an interior observed active speed.
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,0.9,1.5845070422535212,150.31803252235252,46.394454482207564,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 5,E05FW18,2012-09,2012,Y1,2,FW18,Freshwater,18,56.8,204,1.0,1.7605633802816902,63.08632043470555,17.523977898529317,False,True,False,True,active_measured,0.8,14.553563677083371,41.914263390000116,interior_minimum,valid,6,7,
Eel 6,E06FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,62.7,347,0.1,0.1594896331738437,29.44,81.77777777777777,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,12,13,
Eel 7,E07FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,70.3,570,0.1,0.1422475106685633,24.35,67.63888888888889,True,False,False,False,lowflow_0.1_m_s,,,,not_estimable,not_estimable,13,14,
Eel 8,E08FW18,2012-10,2012,Y2,2,FW18,Freshwater,18,66.8,310,0.1,0.14970059880239522,36.53,101.47222222222221,True,False,False,False,lowflow_0.1_m_s,0.4,23.888888888888886,34.4,single_active_point,single_active_point,14,15,
