fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,salinity_psu,tl_used_cm,bw_used_g,initial_lab_holding_condition,initial_lab_holding_days_approx,previous_trial_condition,inter_trial_interval_days,final_pretrial_condition,final_pretrial_period_days,fasting_duration_days,fasting_note,uf_reconstructed_m_s,tf_reconstructed_min,ucrit_m_s,ucrit_tl_s,uopt_m_s,uopt_tl_s,mincot_mg_o2_kg_km,mo2_at_uopt_mg_o2_kg_h,mo2_at_0_1_m_s_mg_o2_kg_h,n_active_speed_steps,uopt_position_flag,ucrit_status,active_metrics_status,lowflow_mo2_status,missing_or_exclusion_reason,notes
Eel 13,E13SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,79.5,862,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.8,80.0,0.8666666666666667,1.090147,0.6,0.754717,50.40420752030172,108.87308824385171,59.325434904988334,3,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.
Eel 14,E14SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,77.6,718,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.6,30.0,0.625,0.805412,0.4,0.515464,45.167619093837054,65.04137149512536,48.33594207325913,3,lowest_active_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.52; Table S2 uses observed COT-minimum speed.
Eel 15,E15SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,78.2,777,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.6,0.0,0.6,0.767263,0.4,0.511509,55.098437677489564,79.34175025558498,66.98648729820337,3,lowest_active_speed,boundary_ambiguous,boundary_estimate,valid,,Ucrit equals a 0.1 m s-1 speed-step boundary; reconstructed Uf/tf are ambiguous.; Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.49; Table S2 uses observed COT-minimum speed.
Eel 16,E16SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,73.0,615,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,1.0,5.0,1.0041666666666667,1.375571,0.5,0.684932,46.823101706710176,84.28158307207832,61.19018093755778,6,interior_minimum,valid,valid,valid,,Original Uopt&Ucrit Uopt value was 0.42; Table S2 uses observed COT-minimum speed.
Eel 17,E17SW18,2012-01,2011,Y2,1,SW18,Seawater,18,-,70.0,529,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.8,30.0,0.8250000000000001,1.178571,0.5,0.714286,58.75375228292684,105.75675410926831,68.09807774634166,5,interior_minimum,valid,valid,valid,,Original Uopt&Ucrit Uopt value was 0.59; Table S2 uses observed COT-minimum speed.
Eel 18,E18SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,78.5,825,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.9,0.0,0.9,1.146497,0.4,0.509554,55.228150101818116,79.5285361466181,41.50051084276363,6,lowest_active_speed,boundary_ambiguous,boundary_estimate,valid,,Ucrit equals a 0.1 m s-1 speed-step boundary; reconstructed Uf/tf are ambiguous.; Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.63; Table S2 uses observed COT-minimum speed.
Eel 19,E19SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,80.3,914,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.9,10.0,0.9083333333333333,1.131175,0.8,0.996264,76.86257812294853,221.36422499409178,49.57642077321668,6,interior_minimum,valid,valid,valid,,Original Uopt&Ucrit Uopt value was 0.73; Table S2 uses observed COT-minimum speed.
Eel 20,E20SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,77.5,747,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.7,30.0,0.7250000000000001,0.935484,0.6,0.774194,45.2423744216867,97.72352875084327,41.979622976024146,4,interior_minimum,valid,valid,valid,,
Eel 21,E21SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,73.2,720,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.9,10.0,0.9083333333333333,1.240893,0.6,0.819672,43.172180577662026,93.25191004774999,42.235808149500045,6,interior_minimum,valid,valid,valid,,
Eel 22,E22SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,81.5,906,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,1.0,50.0,1.0416666666666667,1.278119,0.7,0.858896,29.99588625291706,75.58963335735099,46.113058422913916,7,interior_minimum,valid,valid,valid,,
Eel 23,E23SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,83.0,977,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.6,30.0,0.625,0.753012,0.6,0.722892,41.97459624701469,90.66512789355173,74.89727671983626,3,highest_observed_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.
Eel 24,E24SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,93.0,1366,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.6,30.0,0.625,0.672043,0.5,0.537634,40.82097654333827,73.47775777800888,48.87688185645678,3,interior_minimum,valid,valid,valid,,
Eel 25,E25SW18,2012-01,2011,S1,1,SW18,Seawater,18,-,91.0,1060,SW18,~1 month,none,none,SW18,3,3,Fasted during the final 3 days before the SW18 trial,0.6,30.0,0.625,0.686813,0.4,0.43956,50.45382049457544,72.65350151218864,47.073320367622586,3,lowest_active_speed,valid,boundary_estimate,valid,,Minimum observed active COT occurred at the boundary of observed active speeds.; Original Uopt&Ucrit Uopt value was 0.5; Table S2 uses observed COT-minimum speed.
