comparison,comparison_description,response_variable,analysis_set,group_1,group_2,estimate_definition,n_group_1,n_group_2,n_pairs,mean_group_1,sd_group_1,median_group_1,mean_group_2,sd_group_2,median_group_2,estimate_difference,ci_lower,ci_upper,confidence_level,ci_method,ci_status,test_method,p_value,n_excluded_from_population,exclusion_reason_summary,notes,p_value_fdr,zero_retained_by_permutation_test,zero_inside_reported_interval
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_m_s,sensitivity_valid_only,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,3,,0.7,,0.7,0.5,0.0,0.5,-0.19999999999999996,-inf,inf,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,unbounded_both_sides,exact two-sample label-permutation test,0.25,8,not_estimable:4; boundary_estimate:3; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.25,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_m_s,sensitivity_valid_only,SW18_Y2,SW18_S1,group_2_minus_group_1,3,5,,0.5,0.0,0.5,0.64,0.11401754250991382,0.6,0.14,-0.09999999999999952,0.29999999999999993,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.10714285714285714,7,boundary_estimate:6; not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.42857142857142855,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_tl_s,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,0.9717783333333333,0.10890140461138842,1.010101,1.0891493333333333,0.2880311246347056,1.010101,-0.11737099999999996,-inf,inf,0.95,inversion of the exact paired sign-flip permutation test,unbounded_both_sides,exact paired sign-flip permutation test,1.0,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_tl_s,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,1.010101,,1.010101,0.6406729999999999,0.10319759320061683,0.674031,-0.369428,-inf,inf,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,unbounded_both_sides,exact two-sample label-permutation test,0.14285714285714285,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14285714285714285,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_tl_s,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,0.6406729999999999,0.10319759320061683,0.674031,0.70733325,0.19398146281962836,0.748543,0.06666025000000009,-0.1262429230769229,0.2616353333333339,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.45787545787545786,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7476967476967477,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,uopt_tl_s,sensitivity_valid_only,FW25,FW18,group_1_minus_group_2,1,1,1.0,1.010101,,1.010101,1.010101,,1.010101,0.0,-inf,inf,0.95,inversion of the exact paired sign-flip permutation test,unbounded_both_sides,exact paired sign-flip permutation test,1.0,15,not_estimable:7; boundary_estimate:6; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",1.0,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,uopt_tl_s,sensitivity_valid_only,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,3,,1.010101,,1.010101,0.6874493333333334,0.02567073838699099,0.684932,-0.32265166666666656,-inf,inf,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,unbounded_both_sides,exact two-sample label-permutation test,0.25,8,not_estimable:4; boundary_estimate:3; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.25,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,uopt_tl_s,sensitivity_valid_only,SW18_Y2,SW18_S1,group_2_minus_group_1,3,5,,0.6874493333333334,0.02567073838699099,0.684932,0.7973320000000002,0.16721360633034624,0.819672,0.1098826666666668,-0.20659466666666654,0.4049120000000003,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.35714285714285715,7,boundary_estimate:6; not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7142857142857143,True,True
FW25_vs_FW18_paired,Sequential FW25 and FW18 trials in the same yellow eels; estimate = FW25 - FW18.,mincot_mg_o2_kg_km,main_valid_plus_boundary,FW25,FW18,group_1_minus_group_2,3,3,3.0,41.1321007794053,8.92864994582229,43.6173406862745,17.9876174785109,6.424850171668184,14.553563677083371,23.144483300894393,-inf,inf,0.95,inversion of the exact paired sign-flip permutation test,unbounded_both_sides,exact paired sign-flip permutation test,0.25,9,not_estimable:7; single_active_point:2; missing_value:7,"Fixed trial order; interpret as temperature-associated difference, not isolated temperature effect.",0.5,True,True
Y2_FW18_vs_Y2_SW18_independent,Exploratory Y2 freshwater-seawater comparison at 18 C; estimate = SW18 - FW18.,mincot_mg_o2_kg_km,main_valid_plus_boundary,Y2_FW18,Y2_SW18,group_2_minus_group_1,1,6,,14.009545118012396,,14.009545118012396,51.76197791487195,5.221231198990198,52.36447836413403,37.75243279685955,-inf,inf,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,unbounded_both_sides,exact two-sample label-permutation test,0.14285714285714285,5,not_estimable:4; single_active_point:1; missing_value:4,Exploratory salinity-associated comparison; independent groups with differences in cohort/history and fasting duration.,0.14285714285714285,True,True
SW18_Y2_vs_SW18_S1_independent,Stage-associated comparison under SW18; estimate = S1 - Y2.,mincot_mg_o2_kg_km,main_valid_plus_boundary,SW18_Y2,SW18_S1,group_2_minus_group_1,6,8,,51.76197791487195,5.221231198990198,52.36447836413403,47.968820345245106,13.805859763421964,44.20727749967436,-3.7931575696268425,-15.703381384777783,9.191613871427501,0.95,inversion of the exact two-sample label-permutation test under an additive location-shift framework,finite,exact two-sample label-permutation test,0.5607725607725608,1,not_estimable:1; missing_value:1,Stage-associated comparison; interpret cautiously because silvering stage and body size may be confounded.,0.7476967476967477,True,True
