experimental_condition,silvering_stage,swimming_speed_m_s,response_variable,n,mean,sd,median,min,max,se
FW25,Y2,1.0,cot_mg_o2_kg_km,2,48.12048325069929,17.977951018168064,48.12048325069929,35.40815217391305,60.83281432748552,12.712331076786233
FW25,Y2,1.1,cot_mg_o2_kg_km,1,57.169917597022824,,57.169917597022824,57.169917597022824,57.169917597022824,
FW25,Y2,1.2,cot_mg_o2_kg_km,1,48.80670240415856,,48.80670240415856,48.80670240415856,48.80670240415856,
FW25,Y2,1.3,cot_mg_o2_kg_km,1,66.3630701754387,,66.3630701754387,66.3630701754387,66.3630701754387,
SW18,S1,0.4,cot_mg_o2_kg_km,8,54.065811120901536,11.087821851001435,52.414996868065614,41.720483703788446,79.20843623468274,3.9201370097157455
SW18,S1,0.5,cot_mg_o2_kg_km,8,55.53087807984163,22.975630735240788,47.803760854844185,40.82097654333827,111.19442689824938,8.123112147463411
SW18,S1,0.6,cot_mg_o2_kg_km,8,51.742503126793814,17.26034142272075,44.29512519835251,39.428374442604955,91.97628876367614,6.102452232800451
SW18,S1,0.7,cot_mg_o2_kg_km,5,55.428391869533456,18.47964295343088,59.803183389610474,29.99588625291706,79.06434406533299,8.264347568759286
SW18,S1,0.8,cot_mg_o2_kg_km,4,57.89184621837123,14.641385692551363,56.655866808491155,41.39307313355406,76.86257812294853,7.320692846275682
SW18,S1,0.9,cot_mg_o2_kg_km,4,61.25814760817475,15.47415392678641,63.52214266469561,40.316492747363206,77.67181235594458,7.737076963393205
SW18,S1,1.0,cot_mg_o2_kg_km,1,52.84878132582776,,52.84878132582776,52.84878132582776,52.84878132582776,
SW18,Y2,0.4,cot_mg_o2_kg_km,6,56.4533737781836,6.417428469609717,57.43537421300368,45.167619093837054,64.40163804878038,2.619904201892292
SW18,Y2,0.5,cot_mg_o2_kg_km,6,57.66069008252705,8.980562690645527,56.539250745446594,46.823101706710176,73.55399532869097,3.6662993658595866
SW18,Y2,0.6,cot_mg_o2_kg_km,6,63.0078119851752,10.556404517123758,61.08915654913595,50.40420752030172,78.06657028184274,4.309634097560775
SW18,Y2,0.7,cot_mg_o2_kg_km,3,62.39808409038063,13.02749095298045,55.2716670361727,54.48844835343619,77.434136881533,7.521425408568677
SW18,Y2,0.8,cot_mg_o2_kg_km,3,62.263030165015635,7.417891939152678,61.32478791229836,55.35889577380551,70.10540680894304,4.282721907889354
SW18,Y2,0.9,cot_mg_o2_kg_km,1,56.981498020225544,,56.981498020225544,56.981498020225544,56.981498020225544,
