experimental_condition,silvering_stage,swimming_speed_m_s,response_variable,n,mean,sd,median,min,max,se
FW25,Y1,0.5,mo2_mg_o2_kg_h,4,91.29448299876502,8.68784808219452,89.80806145633079,82.63229836829841,102.9295107141001,4.34392404109726
FW25,Y1,0.6,mo2_mg_o2_kg_h,1,94.21345588235292,,94.21345588235292,94.21345588235292,94.21345588235292,
FW25,Y2,0.1,mo2_mg_o2_kg_h,4,50.10255943359012,8.566968591632904,47.55639099893501,43.230800000000094,62.066655736490375,4.283484295816452
FW25,Y2,0.4,mo2_mg_o2_kg_h,4,74.7914034868644,18.623669067876982,67.20521361524249,62.42868815789476,102.32649855907783,9.311834533938491
FW25,Y2,0.5,mo2_mg_o2_kg_h,4,88.97012898529103,19.227793632709005,91.1658215205517,66.09521739130435,107.45365550875636,9.613896816354503
FW25,Y2,0.6,mo2_mg_o2_kg_h,3,95.3143497003045,24.114807782029736,87.17263289473678,76.32423913043472,122.446177075742,13.922690764410952
FW25,Y2,0.7,mo2_mg_o2_kg_h,2,89.5413136727689,15.353453471137161,89.5413136727689,78.68478260869567,100.39784473684212,10.856531064073222
FW25,Y2,0.8,mo2_mg_o2_kg_h,2,96.43472234390329,7.6158061634992835,96.43472234390329,91.04953416149064,101.81991052631594,5.385188182412647
FW25,Y2,0.9,mo2_mg_o2_kg_h,2,137.30425180205953,28.652868577538847,137.30425180205953,117.04361413043486,157.5648894736842,20.260637671624664
FW25,Y2,1.0,mo2_mg_o2_kg_h,2,173.23373970251745,64.72062366540503,173.23373970251745,127.469347826087,218.9981315789479,45.76439187643044
FW25,Y2,1.1,mo2_mg_o2_kg_h,1,226.3928736842104,,226.3928736842104,226.3928736842104,226.3928736842104,
FW25,Y2,1.2,mo2_mg_o2_kg_h,1,210.844954385965,,210.844954385965,210.844954385965,210.844954385965,
FW25,Y2,1.3,mo2_mg_o2_kg_h,1,310.5791684210531,,310.5791684210531,310.5791684210531,310.5791684210531,
SW18,S1,0.1,mo2_mg_o2_kg_h,8,49.03161251354176,10.917464477515626,46.593189395268254,41.50051084276363,74.89727671983626,3.859906582707273
SW18,S1,0.4,mo2_mg_o2_kg_h,8,77.85476801409823,15.966463465442072,75.4775954900145,60.07749653345537,114.06014817794316,5.644997293990675
SW18,S1,0.5,mo2_mg_o2_kg_h,8,99.95558054371493,41.35613532343342,86.04676953871953,73.47775777800888,200.14996841684888,14.62160186543414
SW18,S1,0.6,mo2_mg_o2_kg_h,8,111.76380675387465,37.28233747307683,95.67747042844144,85.16528879602672,198.66878372954048,13.181296822848978
SW18,S1,0.7,mo2_mg_o2_kg_h,5,139.67954751122434,46.56870024264582,150.7040221418184,75.58963335735099,199.24214704463913,20.8261558732734
SW18,S1,0.8,mo2_mg_o2_kg_h,4,166.72851710890916,42.167190794547906,163.16889640845454,119.21205062463572,221.36422499409176,21.083595397273953
SW18,S1,0.9,mo2_mg_o2_kg_h,4,198.4763982504862,50.13625872278799,205.81174223361376,130.6254365014568,251.6566720332605,25.068129361393996
SW18,S1,1.0,mo2_mg_o2_kg_h,1,190.25561277297993,,190.25561277297993,190.25561277297993,190.25561277297993,
SW18,Y2,0.1,mo2_mg_o2_kg_h,6,57.598182869717135,10.52912802105742,60.257807921273056,41.65297425795253,68.09807774634166,4.2984985146718495
SW18,Y2,0.4,mo2_mg_o2_kg_h,6,81.29285824058438,9.241096996237994,82.70693886672531,65.04137149512536,92.73835879024377,3.772662050724901
SW18,Y2,0.5,mo2_mg_o2_kg_h,6,103.78924214854868,16.165012843161946,101.77065134180387,84.28158307207832,132.39719159164375,6.599338858547255
SW18,Y2,0.6,mo2_mg_o2_kg_h,6,136.09687388797843,22.80183375698732,131.95257814613365,108.87308824385173,168.62379180878034,9.308809650731277
SW18,Y2,0.7,mo2_mg_o2_kg_h,3,157.24317190775918,32.82927720151071,139.2846009311552,137.3108898506592,195.1340249414631,18.953992029593056
SW18,Y2,0.8,mo2_mg_o2_kg_h,3,179.31752687524508,21.36352878475971,176.6153891874193,159.43361982855987,201.90357160975597,12.334239094721337
SW18,Y2,0.9,mo2_mg_o2_kg_h,1,184.62005358553077,,184.62005358553077,184.62005358553077,184.62005358553077,
